Title,Body HTML,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant Price,Variant Compare At Price,Image Src,Image Position,Collection
"Espadrille Premium Minimaliste – Blanc",,Erzana Homme,Chaussures,"baskets-espadrilles,tendance",TRUE,Taille,43,Couleur,Blanc,449,649,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Espadrille+Premium+Blanc",1,"Baskets & Espadrilles"
"Espadrille Premium Minimaliste – Blanc",,Erzana Homme,Chaussures,"baskets-espadrilles,tendance",TRUE,Taille,44,Couleur,Blanc,449,649,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Espadrille+Premium+Blanc",1,"Baskets & Espadrilles"
"Chaussure Confort+ Premium – Noir","<p>Chaussure de confort premium en cuir noir souple, conçue pour offrir un confort optimal toute la journée. Semelle intérieure ergonomique et matériaux respirants.</p><p>Parfaite pour les longues journées, alliant confort exceptionnel et style élégant. Un investissement dans votre bien-être.</p>",Erzana Homme,Chaussures,"chaussures-confort,haute_gamme",TRUE,Taille,40,Couleur,Noir,799,999,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Chaussure+Confort+Noir",1,"Chaussures Confort+"
"Chaussure Confort+ Premium – Noir",,Erzana Homme,Chaussures,"chaussures-confort,haute_gamme",TRUE,Taille,41,Couleur,Noir,799,999,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Chaussure+Confort+Noir",1,"Chaussures Confort+"
"Chaussure Confort+ Premium – Noir",,Erzana Homme,Chaussures,"chaussures-confort,haute_gamme",TRUE,Taille,42,Couleur,Noir,799,999,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Chaussure+Confort+Noir",1,"Chaussures Confort+"
"Chaussure Confort+ Premium – Noir",,Erzana Homme,Chaussures,"chaussures-confort,haute_gamme",TRUE,Taille,43,Couleur,Noir,799,999,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Chaussure+Confort+Noir",1,"Chaussures Confort+"
"Chaussure Confort+ Premium – Noir",,Erzana Homme,Chaussures,"chaussures-confort,haute_gamme",TRUE,Taille,44,Couleur,Noir,799,999,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Chaussure+Confort+Noir",1,"Chaussures Confort+"
"Mocassin Élégance Suprême – Noir","<p>Mocassin premium en cuir noir souple, confectionné avec un savoir-faire artisanal exceptionnel. Design élégant et intemporel, parfait pour un style raffiné et sophistiqué.</p><p>Semelle souple en cuir pour un confort optimal. Un classique revisité avec une touche moderne pour l'homme exigeant.</p>",Erzana Homme,Chaussures,"mocassins,haute_gamme",TRUE,Taille,40,Couleur,Noir,699,899,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Mocassin+Elegance+Noir",1,Mocassins
"Mocassin Élégance Suprême – Noir",,Erzana Homme,Chaussures,"mocassins,haute_gamme",TRUE,Taille,41,Couleur,Noir,699,899,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Mocassin+Elegance+Noir",1,Mocassins
"Mocassin Élégance Suprême – Noir",,Erzana Homme,Chaussures,"mocassins,haute_gamme",TRUE,Taille,42,Couleur,Noir,699,899,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Mocassin+Elegance+Noir",1,Mocassins
"Mocassin Élégance Suprême – Noir",,Erzana Homme,Chaussures,"mocassins,haute_gamme",TRUE,Taille,43,Couleur,Noir,699,899,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Mocassin+Elegance+Noir",1,Mocassins
"Mocassin Élégance Suprême – Noir",,Erzana Homme,Chaussures,"mocassins,haute_gamme",TRUE,Taille,44,Couleur,Noir,699,899,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Mocassin+Elegance+Noir",1,Mocassins
"Sabot Traditionnel Luxe Homme – Noir","<p>Sabot traditionnel revisité en cuir noir premium, alliant authenticité et modernité. Design épuré et confortable, parfait pour un style décontracté élégant.</p><p>Confortable et durable, idéal pour les journées décontractées. Matériaux de qualité supérieure pour une longévité exceptionnelle.</p>",Erzana Homme,Chaussures,"sabots-babouches,tendance",TRUE,Taille,40,Couleur,Noir,599,799,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Sabot+Traditionnel+Noir",1,"Sabots & Babouches"
"Sabot Traditionnel Luxe Homme – Noir",,Erzana Homme,Chaussures,"sabots-babouches,tendance",TRUE,Taille,41,Couleur,Noir,599,799,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Sabot+Traditionnel+Noir",1,"Sabots & Babouches"
"Sabot Traditionnel Luxe Homme – Noir",,Erzana Homme,Chaussures,"sabots-babouches,tendance",TRUE,Taille,42,Couleur,Noir,599,799,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Sabot+Traditionnel+Noir",1,"Sabots & Babouches"
"Sabot Traditionnel Luxe Homme – Noir",,Erzana Homme,Chaussures,"sabots-babouches,tendance",TRUE,Taille,43,Couleur,Noir,599,799,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Sabot+Traditionnel+Noir",1,"Sabots & Babouches"
"Sabot Traditionnel Luxe Homme – Noir",,Erzana Homme,Chaussures,"sabots-babouches,tendance",TRUE,Taille,44,Couleur,Noir,599,799,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Sabot+Traditionnel+Noir",1,"Sabots & Babouches"
"Chaussure Classique Heritage – Noir","<p>Chaussure classique en cuir noir premium, inspirée des modèles traditionnels de la maroquinerie de luxe. Design intemporel et élégant, parfaite pour toutes les occasions.</p><p>Finitions impeccables et confort exceptionnel. Un investissement dans l'élégance intemporelle pour l'homme moderne.</p>",Erzana Homme,Chaussures,"chaussures-classiques,haute_gamme",TRUE,Taille,40,Couleur,Noir,899,1099,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Chaussure+Classique+Noir",1,"Chaussures Classiques"
"Chaussure Classique Heritage – Noir",,Erzana Homme,Chaussures,"chaussures-classiques,haute_gamme",TRUE,Taille,41,Couleur,Noir,899,1099,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Chaussure+Classique+Noir",1,"Chaussures Classiques"
"Chaussure Classique Heritage – Noir",,Erzana Homme,Chaussures,"chaussures-classiques,haute_gamme",TRUE,Taille,42,Couleur,Noir,899,1099,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Chaussure+Classique+Noir",1,"Chaussures Classiques"
"Chaussure Classique Heritage – Noir",,Erzana Homme,Chaussures,"chaussures-classiques,haute_gamme",TRUE,Taille,43,Couleur,Noir,899,1099,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Chaussure+Classique+Noir",1,"Chaussures Classiques"
"Chaussure Classique Heritage – Noir",,Erzana Homme,Chaussures,"chaussures-classiques,haute_gamme",TRUE,Taille,44,Couleur,Noir,899,1099,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Chaussure+Classique+Noir",1,"Chaussures Classiques"
"Portefeuille Cuir Luxe Minimaliste – Noir","<p>Portefeuille en cuir véritable noir, design minimaliste et élégant. Compartiments multiples pour cartes et billets, fermeture élégante. Finitions soignées et matériaux premium.</p><p>Parfait pour l'homme moderne qui apprécie l'élégance discrète et la qualité supérieure. Un accessoire essentiel au style raffiné.</p>",Erzana Homme,Portefeuille,"portefeuille,haute_gamme,nouveaute",TRUE,,,,,399,599,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Portefeuille+Luxe+Noir",1,Portefeuille
"Portefeuille Cuir Luxe Minimaliste – Blanc","<p>Portefeuille en cuir véritable blanc, design minimaliste et élégant. Compartiments multiples pour cartes et billets, fermeture élégante. Finitions soignées et matériaux premium.</p><p>Parfait pour l'homme moderne qui apprécie l'élégance discrète et la qualité supérieure. Un accessoire essentiel au style raffiné.</p>",Erzana Homme,Portefeuille,"portefeuille,tendance",TRUE,,,,,399,599,"https://via.placeholder.com/1200x1500/ffffff/231f20?text=Portefeuille+Luxe+Blanc",1,Portefeuille
"Sandale Homme Premium – Noir","<p>Sandale élégante en cuir noir premium, parfaite pour les beaux jours. Design moderne et confortable, semelle souple pour un port agréable.</p><p>Idéale pour un style décontracté sophistiqué, alliant confort et élégance. Matériaux de qualité pour une durabilité optimale.</p>",Erzana Homme,Chaussures,"sandales-homme,tendance",TRUE,Taille,40,Couleur,Noir,499,699,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Sandale+Premium+Noir",1,"Sandales Homme"
"Sandale Homme Premium – Noir",,Erzana Homme,Chaussures,"sandales-homme,tendance",TRUE,Taille,41,Couleur,Noir,499,699,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Sandale+Premium+Noir",1,"Sandales Homme"
"Sandale Homme Premium – Noir",,Erzana Homme,Chaussures,"sandales-homme,tendance",TRUE,Taille,42,Couleur,Noir,499,699,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Sandale+Premium+Noir",1,"Sandales Homme"
"Sandale Homme Premium – Noir",,Erzana Homme,Chaussures,"sandales-homme,tendance",TRUE,Taille,43,Couleur,Noir,499,699,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Sandale+Premium+Noir",1,"Sandales Homme"
"Sandale Homme Premium – Noir",,Erzana Homme,Chaussures,"sandales-homme,tendance",TRUE,Taille,44,Couleur,Noir,499,699,"https://via.placeholder.com/1200x1500/231f20/ffffff?text=Sandale+Premium+Noir",1,"Sandales Homme"
